Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2i40AXmoYGkzzW3C3OUoG6,"記得","MEMENTO","Terence Lam",2022-08-12,233367,47,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Terence Lam Production & Co.",0.405,0.128,5,-17.609,1,0.0332,0.942,0.000303,0.109,0.365,137.936,4
spotify:track:4Ly4kSvsSLR2oThi5DGJaW,"你在我不遠處","你在我不遠處","Cloud 雲浩影",2025-02-22,181471,39,false,,2025-05-22T13:52:38Z,"cantopop","Media Asia Music Limited",0.601,0.499,11,-6.98,1,0.0393,0.528,0,0.16,0.297,128.067,4
spotify:track:2gQoBhLuUmJqelyTrZfkKD,"以孤獨命名","以孤獨命名","陳卓賢 Ian",2024-07-02,228860,54,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","Music Nation Records Co. Ltd.",0.704,0.419,7,-7.994,1,0.0434,0.767,0,0.113,0.27,133.015,4
spotify:track:7wreJjj0j7KDurrYbeThHt,"白月光","白月光","Tsang Lok Tung 曾樂彤",2025-02-20,225764,26,false,,2025-05-22T13:52:38Z,"cantopop","BUTTON & PULLEY LIMITED",0.568,0.476,7,-8.19,1,0.0482,0.766,0,0.0805,0.298,127.223,4
spotify:track:6P9A119AKQx9OHDQAMOydb,"留在你在我在的腦海","留在你在我在的腦海","Feanna Wong",2025-02-18,230658,38,false,,2025-05-22T13:52:38Z,"cantopop","Media Asia Music Limited",0.381,0.559,8,-6.936,0,0.0405,0.182,0.000589,0.116,0.1,141.587,4
spotify:track:4s258h666TRMUxtloLuGy8,"心之所向","心之所向","雷同二友",2025-02-25,243784,34,false,,2025-05-22T13:52:38Z,"cantopop","雷同二友工作室",0.46,0.622,6,-6.341,1,0.0324,0.397,0.000281,0.262,0.439,75.05,4
spotify:track:3CR0lzI5XzJXy942UeaGv9,"慢性分手","慢性分手","Cloud 雲浩影",2024-04-09,261652,40,false,,2025-05-09T05:47:17Z,"cantopop","Media Asia Music Limited",0.4,0.466,6,-8.302,1,0.0398,0.674,0,0.0934,0.326,132.421,4
spotify:track:6NTpMNt4qi3icnZq9Wh5WE,"間歇性休眠","間歇性休眠","JACE",2024-06-20,281694,39,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Jace.World",0.588,0.4,9,-7.184,1,0.03,0.85,0,0.154,0.226,100.354,3
spotify:track:73HLm4bnp7QSnH8chPczoO,"多謝你自己","多謝你自己","Dear Jane",2024-07-02,259636,40,false,,2025-05-09T05:47:17Z,"cantopop,v-pop,c-pop,taiwanese pop","WM Hong Kong",0.479,0.95,10,-3.995,1,0.0539,0.0113,0,0.0997,0.364,110.003,4
spotify:track:51AlYPzdPecthSJQgve9nD,"殺出鑽石山","殺出鑽石山","Teddy Fan",2024-10-04,201166,36,false,,2025-05-09T05:47:17Z,"cantopop","Teddy Fan Production Limited",0.617,0.625,11,-6.375,1,0.0355,0.321,0,0.239,0.319,89.981,4
spotify:track:6TdgvQPEiLmQnYtCsxuU6C,"胭脂扣","胭脂扣","Novel Fergus",2024-06-23,239142,43,false,,2025-05-09T05:47:17Z,"chinese hip hop,cantopop","Yack Studio Record Limited",0.699,0.631,7,-5.848,0,0.0661,0.258,0,0.309,0.322,139.906,4
spotify:track:48tKWIvd2NS92ParNHnZOX,"雲的自述","TOUCH OF ABSENCE","Cloud 雲浩影",2025-01-20,182938,35,false,,2025-05-09T05:47:17Z,"cantopop","Media Asia Music Limited",0.538,0.416,9,-9.005,1,0.0334,0.688,0.0000126,0.144,0.237,130.967,4
spotify:track:63NZtFw4qM25MuZNVBmj9k,"有你聽我的故事","ISFP","Terence Lam",2024-06-25,221804,44,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Terence Lam Production & Co.",0.469,0.562,11,-8.774,1,0.0371,0.201,0,0.105,0.251,132.158,4
spotify:track:2KzcB6TDErJlVTrVnqSBb6,"一個人行街","自游生物","雷同二友",2024-05-31,197232,37,false,,2025-05-09T05:47:17Z,"cantopop","雷同二友工作室",0.558,0.31,5,-7.71,1,0.0288,0.666,0.0000026,0.08,0.385,78.282,4
spotify:track:43TAdcNSQwqX5kfXiwvbzG,"今次動真格","今次動真格","Teddy Fan",2024-03-29,199905,38,false,,2025-05-09T05:47:17Z,"cantopop","Teddy Fan Production Limited",0.5,0.924,0,-4.893,1,0.0749,0.00791,0,0.181,0.795,185.082,4
spotify:track:2PkErrvrjQry3l1IhhJsor,"我也難過的","我也難過的","吳林峰;謝芊彤",2022-01-24,278293,44,false,,2025-05-09T05:47:17Z,"cantopop","Sunny Idea (HK) Limited",0.584,0.462,7,-8.047,1,0.0385,0.6,0.00000439,0.102,0.265,134.73,4
spotify:track:4QM774WtzXy2KZeed1xe03,"Never mind","Never mind","Nancy Kwai",2023-11-21,251385,39,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.599,0.4,11,-8.351,1,0.0269,0.817,0.00000675,0.34,0.0962,78.31,3
